"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"97145","TOLOVANA PARK, OR",,"H",156,"H",442,"H",2335,10,"TOLOVANA PARK","OR","CLATSOP"
"97146","WARRENTON, OR",,"G",2611,"G",19358,"G",83607,201,"WARRENTON","OR","CLATSOP"
"97147","WHEELER, OR",,"G",138,"G",865,"G",3759,16,"WHEELER","OR","TILLAMOOK"
"97148","YAMHILL, OR",,"H",337,"H",2155,"H",9991,70,"YAMHILL","OR","YAMHILL"
"97149","NESKOWIN, OR",,"H",88,"G",511,"G",1935,22,"NESKOWIN","OR","TILLAMOOK"
"97201","PORTLAND, OR",,"G",20349,"G",346350,"G",1266546,956,"PORTLAND","OR","MULTNOMAH"
"97202","PORTLAND, OR",,"G",13475,"G",117314,"G",486227,1238,"PORTLAND","OR","MULTNOMAH"
"97203","PORTLAND, OR",,"G",10648,"G",97890,"G",399264,510,"PORTLAND","OR","MULTNOMAH"
"97204","PORTLAND, OR",,"G",27253,"G",545201,"G",2032350,1356,"PORTLAND","OR","MULTNOMAH"
"97205","PORTLAND, OR",,"G",17647,"G",206532,"G",854465,1132,"PORTLAND","OR","MULTNOMAH"
"97206","PORTLAND, OR",,"G",7122,"G",61902,"G",258231,773,"PORTLAND","OR","MULTNOMAH"
"97207","PORTLAND, OR",,"G",169,"G",1245,"G",5514,15,"PORTLAND","OR","MULTNOMAH"
"97208","PORTLAND, OR",,"H",1704,"H",23054,"H",110900,63,"PORTLAND","OR","MULTNOMAH"
"97209","PORTLAND, OR",,"G",23736,"G",352185,"G",1370351,1456,"PORTLAND","OR","MULTNOMAH"
"97210","PORTLAND, OR",,"G",20961,"G",256462,"G",1122851,1067,"PORTLAND","OR","MULTNOMAH"
"97211","PORTLAND, OR",,"G",13135,"G",111058,"G",476715,834,"PORTLAND","OR","MULTNOMAH"
"97212","PORTLAND, OR",,"H",5045,"H",58743,"H",245099,615,"PORTLAND","OR","MULTNOMAH"
"97213","PORTLAND, OR",,"G",13862,"G",204417,"G",768405,798,"PORTLAND","OR","MULTNOMAH"
"97214","PORTLAND, OR",,"G",21052,"G",174599,"G",748967,1785,"PORTLAND","OR","MULTNOMAH"
"97215","PORTLAND, OR",,"G",3468,"G",24057,"G",103900,403,"PORTLAND","OR","MULTNOMAH"
"97216","PORTLAND, OR",,"H",8004,"H",71481,"H",313158,479,"PORTLAND","OR","MULTNOMAH"
"97217","PORTLAND, OR",,"G",22848,"G",320147,"G",1153565,1036,"PORTLAND","OR","MULTNOMAH"
"97218","PORTLAND, OR",,"G",9698,"G",96886,"G",371337,468,"PORTLAND","OR","MULTNOMAH"
"97219","PORTLAND, OR",,"G",9694,"G",77036,"G",319132,1043,"PORTLAND","OR","MULTNOMAH"
"97220","PORTLAND, OR",,"G",17299,"G",148239,"G",622431,1028,"PORTLAND","OR","MULTNOMAH"
"97221","PORTLAND, OR",,"G",3265,"G",24723,"G",105462,325,"PORTLAND","OR","MULTNOMAH"
"97222","PORTLAND, OR",,"G",16522,"G",179207,"G",740139,913,"PORTLAND","OR","CLACKAMAS"
"97223","PORTLAND, OR",,"G",31713,"G",331292,"G",1340092,2099,"PORTLAND","OR","WASHINGTON"
"97224","PORTLAND, OR",,"G",15562,"G",151090,"G",616738,1057,"PORTLAND","OR","WASHINGTON"
